Nome	Endereco	Medidor	Localizacao	Tipo de Fluido	Data	Horario	Indice	Indice antigo	Consumo	Unid._levant.	Bateria	Ha desmontagem/corte	Houve desmontagem/corte	Ha vazamento	Ha fraude magnetica	Houve fraude magnetica	Ha medidor bloqueado	Retorno de agua excedido
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259807	102	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266134	103	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259864	104	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266113	111	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101142	112	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266126	113	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259790	114	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259806	121	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259855	122	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259801	123	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259858	124	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266121	131	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259854	132	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259856	133	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101127	134	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A06P441531	141	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266174	142	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266176	143	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266171	144	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259781	151	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A08B998399	152	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266178	153	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B253884	154	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266172	161	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266123	162	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259787	163	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266179	164	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
