Medidor	Localizacao	Tipo de Fluido	Data	Horario	Indice	Indice antigo	Consumo	Unid._levant.	Bateria	Ha desmontagem/corte	Houve desmontagem/corte	Ha vazamento	Ha fraude magnetica	Houve fraude magnetica	Ha medidor bloqueado	Retorno de agua excedido
4.125	171.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
53.70316202866594	172.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.580000000000041	172.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
39.45742390297675	173.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.0049999999999955	173.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
60.17189005512722	174.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.724000000000046	174.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
49.651121719955675	181.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.8279999999999745	181.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
81.18617084895291	182.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.805000000000064	182.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
138.5870467916204	183.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
9.313999999999965	183.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
91.50706275633961	184.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
6.427000000000021	184.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
55.456623417860946	11.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.0370000000000346	11.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
55.26583228224993	12.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.0190000000000055	12.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
134.56226235942754	13.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
10.995000000000118	13.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
83.46657918412359	14.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.535000000000025	14.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.542646085997795	21.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0.4259999999999877	21.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
28.536902712238327	22.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
1.420000000000016	22.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
71.65569936052897	23.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
6.135999999999967	23.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
43.76385239250283	24.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
1.5190000000000055	24.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
23.094812701212547	31.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0	31.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
12.192462094818458	32.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0.9800000000000182	32.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
33.63375162072766	33.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.591000000000008	33.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.161681675854069	34.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0	34.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
43.84562002205066	41.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.3940000000000055	41.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
54.50266773980176	42.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.1270000000000095	42.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
58.53653746416744	43.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.225999999999999	43.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
50.0690451598674	44.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
1.7999999999999545	44.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
84.83845830209451	51.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
9.337999999999965	51.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
84.12980551267908	52.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
5.8559999999999945	52.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
1.6262672987872293	53.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0.14300000000000068	53.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
93.2696094377069	54.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
8.316000000000031	54.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
78.34247439911736	61.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
6.66599999999994	61.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
315.105188401324	62.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
31.391000000000076	62.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
67.0676268136715	63.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.877999999999986	63.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
